;A11;A12;A13;A14;A4;A5;A5bis;A8_1_slice;A8_2_slice;A8_3_slice;A8_4_slice;B1_1_slice;B1_2_slice;B2_1_slice;B2_2_slice;B3;B4;B6;C1_1_slice;C1_2_slice;C1_3_slice;C1_4_slice;C1_5_slice;C1_6_slice;C1_7_slice;C1_8_slice;C1_9_slice;cluster
3799;1;0;0;0;1;1.0;0.0;1;1;0;0;4;4;4;4;4;4;4;4;4;5;5;5;5;4;5;5;1
3800;0;1;1;0;3;0.0;2.0;1;1;0;0;4;4;4;4;3;4;4;5;4;5;5;4;5;5;5;5;4
3801;1;0;1;0;1;3.0;0.0;10;10;2;2;3;3;3;3;4;1;4;4;4;5;5;5;5;5;5;5;1
3802;1;0;0;0;1;2.0;0.0;4;4;0;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1
3803;1;0;1;0;1;3.0;0.0;1;2;1;0;4;4;3;3;3;4;3;4;5;5;5;4;4;4;4;4;1
3804;1;0;0;0;1;1.0;0.0;2;4;0;0;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;1
3805;1;0;0;0;1;2.0;0.0;10;15;7;2;4;3;3;3;3;3;4;5;5;5;5;5;5;4;5;4;1
3806;1;1;0;0;2;0.0;1.0;1;1;1;0;4;3;3;3;4;3;4;5;5;5;5;5;5;5;5;5;4
3807;0;1;0;0;2;0.0;1.0;1;1;1;1;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;4
3808;1;0;0;0;1;3.0;0.0;4;4;2;0;3;2;3;3;3;3;4;4;4;5;5;5;5;5;4;4;1
3809;1;0;1;0;3;0.0;2.0;2;2;2;2;4;4;4;4;4;4;3;5;4;4;5;5;5;5;4;4;4
3810;1;0;0;0;1;5.0;0.0;2;8;4;1;4;3;3;3;3;2;4;4;4;5;5;4;5;5;4;5;1
3811;0;1;1;0;3;0.0;1.0;2;2;2;2;1;2;1;2;2;3;4;4;4;3;4;5;5;4;4;3;0
3812;1;0;0;0;1;1.0;0.0;2;4;2;1;3;3;3;3;3;3;2;4;4;5;5;5;5;5;4;4;0
3813;1;0;0;0;1;1.0;0.0;2;2;1;0;1;2;3;3;3;3;1;3;4;3;5;3;5;3;3;3;0
3814;1;0;0;0;1;3.0;0.0;3;3;2;1;3;3;1;3;2;2;4;3;3;5;5;5;5;5;5;5;0
3815;1;1;1;0;1;3.0;0.0;2;5;2;0;3;3;3;3;3;2;4;4;4;5;5;5;5;5;5;4;1
3816;1;0;0;0;1;4.0;0.0;3;6;3;0;3;3;2;2;2;2;4;4;4;5;5;4;5;5;4;5;0
3817;1;0;0;0;1;3.0;0.0;15;15;2;2;1;2;3;3;3;4;2;2;3;3;2;2;2;1;3;3;3
3818;1;0;0;0;1;5.0;0.0;20;15;10;2;4;4;4;4;4;3;4;4;4;5;5;4;5;5;4;5;2
3819;0;0;1;0;3;0.0;2.0;2;2;0;0;3;3;3;3;3;3;3;3;4;3;3;3;4;4;4;4;0
3820;1;0;1;0;1;2.0;0.0;1;2;1;0;3;4;4;4;4;3;4;5;5;5;5;5;5;5;4;5;1
3821;0;0;1;0;3;0.0;4.0;4;6;4;2;3;3;3;3;4;4;3;5;4;5;5;5;5;5;5;5;4
3822;1;0;0;0;1;4.0;0.0;6;6;5;2;3;3;3;3;3;2;3;5;5;5;5;5;5;5;4;5;1
3823;1;1;1;0;2;0.0;1.0;1;1;0;0;4;3;4;4;3;1;2;5;4;5;5;5;5;5;4;4;4
3824;1;0;1;0;1;3.0;0.0;1;2;1;0;4;4;4;3;4;4;4;5;5;4;5;5;5;5;5;4;1
3825;1;0;0;0;1;1.0;0.0;0;1;0;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1
3826;1;0;0;0;1;1.0;0.0;1;1;0;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1
3827;1;0;0;0;1;5.0;0.0;6;6;3;0;4;4;4;4;3;2;2;5;5;5;5;5;5;5;4;5;1
3828;1;0;0;0;1;1.0;0.0;5;10;10;2;1;2;3;3;3;2;4;5;5;5;5;5;5;5;5;5;1
3829;1;0;1;0;1;1.0;0.0;2;2;0;0;4;4;4;4;4;4;4;5;3;5;5;5;4;5;5;3;1
3830;1;1;0;0;1;5.0;0.0;3;4;2;1;4;4;2;3;1;1;4;5;4;5;5;5;5;5;5;5;1
3831;1;0;1;0;1;1.0;0.0;6;8;1;0;3;4;2;2;4;4;4;4;5;5;5;5;5;5;4;5;1
3832;1;0;1;0;1;1.0;0.0;1;1;1;0;4;4;4;4;4;3;4;5;5;5;5;5;5;5;5;5;1
3833;0;1;0;0;2;0.0;1.0;1;1;1;1;3;4;4;4;4;4;4;5;4;5;5;4;4;5;5;4;4
3834;0;1;0;0;2;0.0;2.0;1;1;0;0;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4
3835;0;1;0;0;2;0.0;1.0;1;1;0;0;4;4;4;4;4;4;1;5;5;5;5;5;5;5;5;5;4
3836;1;0;0;0;1;1.0;0.0;1;1;1;1;4;4;3;3;4;4;4;5;5;5;5;5;5;5;5;5;1
3837;1;0;0;0;1;3.0;0.0;1;3;2;1;3;4;2;2;3;2;4;2;3;5;5;5;4;4;3;4;0
3838;1;0;1;0;3;0.0;3.0;1;1;0;0;3;3;3;4;4;4;4;4;4;5;5;5;5;5;5;5;4
3839;1;1;1;0;1;3.0;0.0;5;10;5;1;4;3;4;4;1;4;3;2;3;2;2;4;3;1;4;2;3
3840;0;0;1;0;3;0.0;2.0;1;1;1;0;2;3;3;4;4;4;4;3;5;3;5;4;4;5;5;5;4
3841;1;1;0;0;1;3.0;0.0;7;7;3;0;3;3;3;3;1;1;4;5;5;5;5;5;5;5;5;5;1
3842;0;0;1;0;3;0.0;2.0;2;2;0;0;4;4;4;4;3;3;4;5;5;5;5;5;5;5;5;5;4
3843;0;0;1;0;3;0.0;1.0;0;1;0;0;3;3;3;3;4;4;4;5;4;5;5;5;5;5;5;5;4
3844;1;0;1;0;1;3.0;0.0;4;3;3;1;2;3;3;3;4;4;4;4;4;4;5;5;5;5;5;4;1
3845;1;0;0;0;1;1.0;0.0;5;12;5;0;3;3;3;3;3;4;3;4;4;5;5;4;4;5;4;4;0
3846;1;0;0;0;1;4.0;0.0;2;1;2;0;4;4;4;4;3;3;3;4;4;5;5;5;5;5;5;4;1
3847;1;0;0;0;1;3.0;0.0;14;21;21;7;3;3;3;3;4;4;2;4;4;5;5;5;5;5;4;5;2
3848;1;0;0;0;1;4.0;0.0;3;3;1;1;4;4;3;4;4;4;4;5;5;4;4;5;5;5;5;5;1
3849;1;0;1;0;1;1.0;0.0;4;4;2;1;4;4;4;4;3;2;4;3;3;3;5;5;5;5;3;3;0
3850;1;0;0;0;1;3.0;0.0;10;5;15;2;4;4;3;3;4;3;3;4;5;5;5;5;5;5;4;4;1
3851;0;0;1;0;3;0.0;2.0;0;2;2;0;3;4;4;4;4;4;3;5;4;5;4;5;5;5;5;5;4
3852;1;0;0;0;1;4.0;0.0;4;5;3;1;1;3;1;4;3;4;2;4;4;4;5;5;5;5;3;2;0
3853;1;0;0;0;1;1.0;0.0;1;2;1;1;2;2;2;2;4;3;4;4;4;4;4;5;5;4;4;5;0
3854;0;1;0;0;2;0.0;1.0;1;1;0;0;3;3;4;4;4;4;4;5;5;5;5;5;5;5;5;5;4
3855;0;1;0;0;2;0.0;1.0;1;0;1;0;4;4;4;4;4;4;2;5;5;5;5;5;5;5;5;5;4
3856;1;1;1;0;2;0.0;1.0;1;1;1;0;4;4;2;2;3;3;3;4;4;5;4;4;5;5;4;4;0
3857;0;1;0;0;2;0.0;1.0;30;30;15;15;4;4;4;4;4;4;2;5;5;5;5;5;5;5;5;5;2
3858;1;0;0;0;1;3.0;0.0;2;1;2;1;3;4;3;3;4;4;4;5;5;4;5;5;5;5;5;5;1
3859;0;0;1;0;3;0.0;3.0;4;4;4;4;2;2;3;3;2;2;3;4;4;4;5;4;4;4;4;4;0
3860;1;1;1;0;1;1.0;0.0;8;8;8;2;4;3;4;3;4;2;3;4;4;4;4;5;4;4;4;4;0
3861;1;0;1;0;1;3.0;0.0;10;5;10;1;4;4;4;4;3;4;4;4;5;5;5;4;5;5;4;5;1
3862;1;0;0;0;1;4.0;0.0;4;5;3;1;4;4;3;3;1;1;4;3;3;4;5;3;5;5;4;4;0
3863;0;1;0;0;2;0.0;2.0;0;0;0;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;4
3864;0;1;0;0;2;0.0;1.0;2;2;1;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;4
3865;1;0;0;0;1;3.0;0.0;3;4;6;0;4;4;3;4;4;3;3;3;3;5;5;4;5;5;4;4;1
3866;1;0;0;0;1;4.0;0.0;3;3;1;0;4;2;3;2;3;3;4;4;4;5;5;3;5;5;4;4;0
3867;0;0;1;0;3;0.0;4.0;2;2;1;1;3;3;3;3;3;3;4;3;3;3;5;3;5;3;3;3;0
3868;1;0;0;0;1;2.0;0.0;4;10;3;1;3;3;3;3;2;2;3;4;4;5;5;5;5;4;5;5;1
3869;0;1;0;0;2;0.0;1.0;1;1;0;0;3;4;3;3;3;3;4;4;4;5;5;5;5;5;5;3;4
3870;0;1;0;0;2;0.0;1.0;3;5;2;1;4;4;4;4;3;3;4;5;5;5;5;5;5;5;5;5;4
3871;1;0;0;0;1;1.0;0.0;50;50;35;10;3;3;2;2;1;1;3;5;4;5;5;5;5;5;5;5;2
3872;1;0;0;0;1;1.0;0.0;2;2;1;0;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1
